id,video_id,old,new
salon-083,ekZHtu7TM9Q,/archive/salon-083/,/archive/salon-083-influences/
salon-084,9uB83V9qp8M,/archive/salon-084/,/archive/salon-084-independence/
salon-085,OdbOncqxQ7s,/archive/salon-085/,/archive/salon-085-perspective/
salon-086,vE2cOCt7b0o,/archive/salon-086/,/archive/salon-086-hello-brooklyn/
salon-087,RFWaEX_2QPk,/archive/salon-087/,/archive/salon-087-wild-and-newfangled-techspressionism/
salon-088,htDS7UsZjyA,/archive/salon-088/,/archive/salon-088-education/
salon-089,gesSwVo36wo,/archive/salon-089/,/archive/salon-089-mariniana/
salon-090,o7pyuyo35iU,/archive/salon-090/,/archive/salon-090-origins-part-one/
salon-091,5RXM-lkRkhI,/archive/salon-091/,/archive/salon-091-origins-part-two/
salon-092,bdzAVjhHPaw,/archive/salon-092/,/archive/salon-092-breaking-ai/
salon-093,PrrvyUZvD5k,/archive/salon-093/,/archive/salon-093-live-from-cape-cod/
salon-094,npycONiSa_c,/archive/salon-094/,/archive/salon-094-150-media-stream-chicago/
salon-095,LntR7Bo5jmA,/archive/salon-095/,/archive/salon-095-live-from-chelsea/
salon-096,VaKW4Gnh9eE,/archive/salon-096/,/archive/salon-096-open-studios/
salon-097,w6dn7xxG6ds,/archive/salon-097/,/archive/salon-097-creative-coding/
salon-098,3JOMa_JYp9s,/archive/salon-098/,/archive/salon-098/
salon-099,1cuvfkJw3rs,/archive/salon-099/,/archive/salon-099-floating-questions/
salon-100,XpQRmDG0f5s,/archive/salon-100/,/archive/salon-100-hello-uzbekistan/
salon-101,l9TiCHiOgpQ,/archive/salon-101/,/archive/salon-101-open-mic/
salon-102,VxS9DBtseCE,/archive/salon-102/,/archive/salon-102-art-science-intra-action/
salon-103,QT6X7WrTTmA,/archive/salon-103/,/archive/salon-103-generative-ai/
salon-104,7zk9GzgaLvs,/archive/salon-104/,/archive/salon-104-history-theory-connectivity/
salon-105,P-sfs-tCkgw,/archive/salon-105/,/archive/salon-105-every-woman-biennial/
salon-106,kAXUgOIUjw0,/archive/salon-106/,/archive/salon-106-france/
salon-107,xm747MwGbiA,/archive/salon-107/,/archive/salon-107-new-artists/
salon-108,RSGBYaBbWgg,/archive/salon-108/,/archive/salon-108-los-angeles-and-beyond/
salon-109,w8IHfgE2veI,/archive/salon-109/,/archive/salon-109-open-mic-august-2026/
salon-110,pMRthFj7aw4,/archive/salon-110/,/archive/salon-110-loop-art-critique/
